census_tract,ces_30_score,ozone,pm25,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,poverty,unemployment,housing_burden,hispanic,white,african_american,native_american,asian_american,other,pct_nonwhite
6037552700,41.182701801119,0.046178296,11.63,29.37810204,489.037978501439,0.0,5264.398038,539.35,2.5,39.25,0.175,0,0.7,6.00735519342445,62.88,5.33,13.42,21.7,35.1,8.0,19.7,73.8,12.2,2.6,0.2,10.1,1.1,87.79999999999998
6037294301,41.1729761235664,0.042298794,11.21,20.01,436.296062896061,0.0,10033.95683,1266.03,4.5,35.5,0.185,12,2.0,7.08616033368354,63.92,4.48,9.66,37.5,31.2,7.2,14.7,81.7,8.9,1.3,0.0,6.8,1.2,91.0
6065042007,41.1661928690717,0.059636183,12.05,2.876354961,1072.13326312304,5.579879193,2066.270063,1137.8,17.0,4.5,0.1,0,12.5,7.51979619026517,39.68,4.87,9.44,13.0,29.2,15.1,20.1,28.7,62.7,2.3,0.5,2.9,2.9,37.3
6071000403,41.1546815903646,0.059636183,12.89,28.53829715,831.512274366811,0.935989253,6618.581374,336.73,6.6,0.0,1.11,1,8.6,7.74701951190245,42.8,5.93,10.32,13.3,33.4,7.5,13.1,55.7,34.4,1.4,0.4,6.6,1.5,65.6
6037195803,41.1443789830441,0.046178296,12.89,29.34,664.069078404159,0.0,3303.965764,1272.28,14.1,6.5,0.05,0,0.0,6.54187415872654,55.22,5.85,7.85,13.3,46.6,9.3,22.6,47.7,32.7,1.6,0.5,15.7,1.9,67.4
6013313101,41.1307391321494,0.037784754,7.85958451,19.86,136.891945301319,0.0,737.3945819,794.39,4.65,34.5,0.475,3,1.5,4.93968689690969,150.18,6.27,14.45,25.3,51.8,9.0,24.2,39.2,22.1,20.2,0.2,15.0,3.3,77.9
6071001311,41.1254968995629,0.062162956,12.89,40.55,510.063418938275,0.0,6225.08577,595.26,8.75,0.0,0.375,5,2.5,7.36358290271083,45.9,4.72,10.76,14.1,24.6,12.7,12.1,38.9,24.8,9.9,0.3,23.0,3.2,75.3
6047002600,41.1059883172987,0.057293727,12.89,7.606002863,653.71163996859,278.4833983,180.3681268,88.03,0.0,17.5,0.2,5,6.0,6.67187235035271,132.15,4.67,15.03,16.1,35.3,10.5,6.8,38.3,42.8,3.3,0.4,12.3,3.0,57.3
6037238400,41.0840110934409,0.046178296,12.05,18.08,626.965594039382,0.0,4419.684072,1041.94,0.0,20.0,0.0,0,0.0,5.37319721927885,119.8,11.38,9.7,13.1,34.6,20.0,31.0,17.6,0.9,78.8,0.3,0.6,1.8,99.1
6037501002,41.076570895935,0.046178296,12.05,19.76,768.608206358302,0.0,9117.238358,469.19,6.6,10.0,0.425,3,0.0,6.49280453757341,67.78,5.26,15.28,16.0,21.5,12.3,15.9,81.5,14.9,0.5,0.2,1.8,1.1,85.1
6071012700,41.0751726596697,0.062162956,13.31,51.38529374,840.836729413759,0.760505993,8881.609564,1858.8,1.0,0.0,1.13,0,3.0,8.31123710863513,42.37,5.09,12.2,9.5,18.3,13.2,11.0,51.4,27.7,9.9,0.1,8.1,2.8,72.3
6037404803,41.0568855974104,0.051242641,11.21,20.85961724,872.365055427538,0.0,12265.28334,1910.82,12.0,7.0,0.05,3,0.0,7.06104262297328,42.33,3.8,7.36,39.2,47.2,12.2,21.4,78.3,8.8,1.4,0.3,10.1,1.1,91.19999999999999
6037119320,41.0494097383936,0.057293727,11.21,18.43,618.051446782596,0.0,645.3878591,1004.82,0.1,0.0,0.0,0,0.0,4.67848954416123,90.75,6.5,10.08,43.1,58.3,12.4,33.9,69.6,6.8,4.3,0.1,17.7,1.5,93.19999999999999
6065041004,41.0403459123676,0.062162956,13.73,8.673473238,1126.14084058767,6.910899893,3630.685481,724.44,7.4,4.5,0.3,3,2.85,7.84642667071861,29.96,4.39,5.7,34.2,52.2,10.8,34.1,61.0,26.8,4.1,0.3,5.6,2.2,73.19999999999999
6107002304,41.0334239691142,0.059636183,17.08,18.11,404.556422450657,0.0,63.33797988,498.48,4.0,31.5,0.05,0,0.0,5.12364398722356,78.57,7.14,11.71,24.2,52.9,10.4,20.6,42.8,48.4,4.1,0.5,0.6,3.6,51.6
6037234000,41.0290698441439,0.046178296,12.47,26.04,664.069078404159,0.000913361,2930.067278,1023.77,0.5,4.5,2.05,0,0.0,6.20216879027068,70.65,8.62,5.8,21.1,39.2,13.0,22.2,31.4,2.9,60.0,0.2,2.0,3.5,97.10000000000001
6037534802,41.0128316052581,0.046178296,12.05,23.49,167.368680027646,0.0,6734.080008,1004.5,3.8,8.3,0.01,0,1.0,5.36255080607569,59.19,6.31,11.02,52.8,55.1,9.3,15.6,96.4,2.1,0.3,0.0,0.9,0.3,97.9
6037530006,40.9872139453671,0.046178296,12.05,20.08131417,548.980619454612,0.0,9850.485356,747.36,10.0,3.3,0.075,0,1.25,5.95876717340531,54.54,6.76,10.97,17.6,32.5,5.8,21.2,64.5,13.4,0.8,0.0,20.2,1.0,86.5
6037530204,40.9640264666429,0.046178296,12.05,33.38,219.379560667226,0.0,10969.13302,604.69,0.0,4.6,0.15,0,1.0,5.37710515122369,54.54,7.49,10.97,27.7,49.8,6.6,24.9,89.3,5.9,0.5,0.3,3.6,0.4,94.1
6065043507,40.9467683059967,0.064888548,8.27876414,12.00367794,875.517521776157,0.27538538,647.5657093,536.09,4.5,0.0,0.1,0,4.0,5.54402057640617,52.91,5.33,9.67,25.6,75.8,24.5,32.2,50.6,38.5,6.6,0.6,1.2,2.5,61.50000000000001
6001425104,40.9449163902795,0.029592333,8.69794377,49.99928832,70.5995828962491,0.0,388.0846268,1122.24,102.3,196.95,5.83,10,1.0,6.43152339609057,165.16,5.93,8.32,5.90000000000001,25.1,10.0,21.8,13.2,34.0,24.7,0.3,21.2,6.6,65.99999999999999
