STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,FED_PER_STUDENT,STATE_PER_STUDENT,TOTAL_PER_STUDENT,PCT_IN_POVERTY,PCT_WITH_BA
PA,2007,1760451.0,25334577.0,1821479.0,8593421.0,244.001273492789,286.16686332577,226.353658210298,263.54571646767005,1034.6661168075682,4881.374715910866,14390.958339652736,10.4,33.3649377
RI,2007,147861.0,2100679.0,165167.0,817792.0,235.87793575221198,275.386990471622,218.761444851879,259.13670308841097,1117.0423573491319,5530.816104314187,14207.120200729065,9.5,36.10545570000001
SC,2007,701580.0,7130274.0,680718.0,3120416.0,237.10741145424402,281.50360148092096,213.836527211386,268.017670542433,970.2642606687764,4447.698052966162,10163.165996750191,14.1,29.5745724
SD,2007,121158.0,1136570.0,174096.0,371645.0,241.213428581694,288.463925271604,223.39852668799702,267.978979400559,1436.9335908483135,3067.440862345037,9380.891067861801,9.4,31.3758745
TN,2007,978084.0,7617488.0,805633.0,3342186.0,232.753710108317,273.978786623685,215.749268590355,259.547225161046,823.6848777814585,3417.074607088962,7788.173612900324,14.8,28.2752227
TX,2007,4513835.0,44355326.0,4423644.0,15952564.0,242.339759859575,285.870708420456,219.60431305031602,265.710210180337,980.0189860728185,3534.148678451915,9826.527996703471,16.5,27.003222
UT,2007,504079.0,3656090.0,343915.0,1977900.0,239.40498890696202,281.08747370552504,221.26142812873903,267.665630227785,682.2640895573908,3923.789723436208,7253.009944869754,9.6,28.1069425
VT,2007,89329.0,1836316.0,97086.0,1237083.0,246.35740495721402,291.010773791979,228.248538219188,258.321117711185,1086.8363017609063,13848.615791064492,20556.77327631564,9.9,39.1447154
VA,2007,1220440.0,14176385.0,890144.0,5796043.0,243.52112978321603,287.62590496388196,227.13672485221198,257.42120279297296,729.3631804922815,4749.142112680674,11615.798400576841,8.6,37.651140399999996
WA,2007,1026121.0,10350748.0,801339.0,6339782.0,242.54223198471402,284.862804344983,223.999336825378,269.596763416027,780.9400645732812,6178.396115078046,10087.2587151028,10.2,32.3613143
WV,2007,281298.0,2905489.0,353571.0,1677212.0,236.33780580016705,270.084093587271,215.13055545931093,259.161954905287,1256.9268178230914,5962.40286102283,10328.864762636065,14.8,18.1217082
WI,2007,870584.0,10154985.0,574090.0,5175386.0,244.181214196835,285.617942521924,223.31800981087602,260.812919224922,659.4309107449711,5944.729055438647,11664.566543837242,11.0,30.172822200000002
WY,2007,85034.0,1477891.0,111051.0,722364.0,243.86691506428397,286.987771483089,225.289483281059,262.22802467896196,1305.959968953595,8495.00199920032,17380.00094080015,10.9,19.5612726
AL,2009,745668.0,7186390.0,728795.0,4161103.0,227.962650411086,268.524120315168,216.273355869774,267.577473732317,977.3719671489188,5580.369547841668,9637.519646813327,16.6,24.50706
AK,2009,130236.0,2158970.0,312667.0,1357747.0,237.21228433612202,283.047662800849,211.127368273139,256.10686155675097,2400.7724438711266,10425.28179612396,16577.36724100863,11.7,26.3466401
AZ,2009,981303.0,8802515.0,1044140.0,3806064.0,229.991105224216,277.332281962623,209.989269506089,267.16702974162,1064.0342483412362,3878.5818447513147,8970.231416799908,21.2,28.482764300000003
AR,2009,474423.0,4753142.0,534510.0,3530487.0,237.54059191157398,275.999499994013,216.15158139298802,269.568729685871,1126.6527971873202,7441.643849476099,10018.784924002419,18.9,22.844883
CA,2009,6234155.0,73958896.0,9745250.0,40084244.0,231.674927207631,270.448588146426,209.762405377999,254.89524659554002,1563.2030323275567,6429.779817794071,11863.499704450722,15.3,30.8910876
CO,2009,812068.0,8310673.0,560538.0,3634018.0,243.132439997085,287.372907515934,225.69664059033198,259.449426538116,690.2599289714655,4475.016870508381,10233.961934222258,12.3,42.1821591
CT,2009,539250.0,9681268.0,403017.0,3606594.0,244.717742733409,288.608513451696,228.97211669940896,257.595275452299,747.3657858136299,6688.166898470096,17953.20908669448,8.4,42.8139839
DE,2009,116804.0,1718993.0,109682.0,1047418.0,239.490569439364,283.829472979958,225.513086784412,258.048580163614,939.026060751344,8967.312763261532,14716.901818430877,12.3,34.713572799999994
FL,2009,2623067.0,26494500.0,2694566.0,9047586.0,241.944909379496,279.33526411278,225.67340734479401,265.51311994428,1027.2577864004236,3449.2393827530896,10100.580732402184,14.6,33.2702655
GA,2009,1649598.0,17972839.0,1644548.0,7739086.0,236.029572886478,277.561199732371,217.84810573368802,271.810133169712,996.9386480827452,4691.4981710695565,10895.284184389166,18.4,32.9672603
HI,2009,179478.0,2689758.0,392837.0,2205032.0,235.679780829025,273.758606683625,210.61641868593998,264.998966063101,2188.775225932984,12285.806616966982,14986.561026978236,12.5,31.1569794
ID,2009,267951.0,2182273.0,218777.0,1459554.0,241.04280230401298,287.305215052426,221.022924421352,242.49042430531398,816.4813715940601,5447.092938634301,8144.29877104396,13.7,26.845269399999996
IL,2009,2117291.0,26987426.0,3346509.0,7879160.0,238.28566884936,282.43141699208803,219.16577996227002,272.45931634873904,1580.5616705497735,3721.3401464418453,12746.205410593066,13.2,36.3713384
IN,2009,1028259.0,12999357.0,1403839.0,5804809.0,242.616809561118,286.809977886735,222.659480848241,264.362040854787,1365.2581693911748,5645.279059069749,12642.103789025918,16.1,23.3021349
